,source_voltage,voltage0
0,953.6405652761459,8
1,3999.999999,520
2,1.000000013351432e-06,2
3,3999.999999,641
4,1.000000013351432e-06,2
5,3999.999999,647
6,1.000000013351432e-06,2
7,3999.999999,640
8,506.3661187887192,5
9,2301.2687265872955,171
10,994.6227073669434,8
11,3543.048501014709,533
12,3999.999999,655
13,3999.999999,658
14,1.000000013351432e-06,2
15,3348.9280939102173,482
16,959.0470790863036,8
17,2450.6819248199467,217
18,3999.999999,662
19,1.000000013351432e-06,3
