theorist,model_file_name,arch_file_name,num_graph_node,arch_weight_decay,num_params,num_edges,loss,validation loss
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample0_0,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample0_0,3,0.025,4,0,0.053009134,0.049260102
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample0_1,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample0_1,3,0.025,4,0,0.05347625,0.04916816
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample0_2,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample0_2,3,0.025,4,0,0.05358617,0.049165964
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample0_3,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample0_3,3,0.025,4,0,0.053103216,0.049227428
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample0_4,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample0_4,3,0.025,4,0,0.05382871,0.049178448
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample1_0,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample1_0,3,0.025,12,10,0.0033929741,0.0036785658
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample1_1,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample1_1,3,0.025,12,10,0.0053848103,0.0062734573
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample1_2,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample1_2,3,0.025,12,10,0.0036331932,0.0039213537
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample1_3,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample1_3,3,0.025,12,10,0.0032870746,0.0035197055
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample1_4,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample1_4,3,0.025,12,10,0.0068773655,0.008161055
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample2_0,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample2_0,3,0.025,10,11,0.0012267034,0.0011998562
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample2_1,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample2_1,3,0.025,10,11,0.0012764435,0.0011716828
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample2_2,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample2_2,3,0.025,10,11,0.0011988605,0.0011447915
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample2_3,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample2_3,3,0.025,10,11,0.0016194811,0.0015867613
random_darts,model_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample2_4,architecture_weights_random_darts_v_1_wd_0.025_k_3_s_4.0_sample2_4,3,0.025,10,11,0.0014618391,0.0014798124
