theorist,model_file_name,arch_file_name,num_graph_node,arch_weight_decay,num_params,num_edges,loss,BIC,validation loss
original_darts,model_weights_original_darts_v_1_wd_0.05_k_1_s_7.0_sample0_0,architecture_weights_original_darts_v_1_wd_0.05_k_1_s_7.0_sample0_0,1,0.05,3,1,0.00256236,5262.636,0.03267977
original_darts,model_weights_original_darts_v_1_wd_0.05_k_1_s_7.0_sample0_1,architecture_weights_original_darts_v_1_wd_0.05_k_1_s_7.0_sample0_1,1,0.05,3,1,0.0025450606,5263.6963,0.03282311
original_darts,model_weights_original_darts_v_1_wd_0.05_k_1_s_7.0_sample0_2,architecture_weights_original_darts_v_1_wd_0.05_k_1_s_7.0_sample0_2,1,0.05,3,1,0.00350581,5303.5337,0.033490073
original_darts,model_weights_original_darts_v_1_wd_0.05_k_1_s_7.0_sample0_3,architecture_weights_original_darts_v_1_wd_0.05_k_1_s_7.0_sample0_3,1,0.05,3,1,0.002577845,5267.606,0.032975614
original_darts,model_weights_original_darts_v_1_wd_0.05_k_1_s_7.0_sample0_4,architecture_weights_original_darts_v_1_wd_0.05_k_1_s_7.0_sample0_4,1,0.05,3,1,0.0024921042,5260.9634,0.032890446
